osmid,origin,destination,oneway,lanes,name,highway,maxspeed,length,road_class,capacity,wkt
434,36,37,True,1,highway,motorway_link,16.67,376.35,9,4000,"LINESTRING (416174.75990360323 3406865.075933291, 416214.4157659483 3406838.145160983, 416236.24449744157 3406819.7978220475, 416273.8395354587 3406772.7890185257, 416299.02961148706 3406715.756205402, 416308.1232489424 3406684.733796438, 416308.2633049646 3406664.155565147, 416306.13245262497 3406647.9390785526, 416296.48859508074 3406621.8386383764, 416257.45298083476 3406551.5205111275)"
435,38,39,True,2,highway,motorway_link,16.67,96.29,9,2500,"LINESTRING (419451.9007599645 3384706.752604404, 419470.3981589244 3384662.0447212528, 419477.6210480795 3384614.6457616687)"
436,39,40,True,1,highway,motorway_link,16.67,244.62,9,2500,"LINESTRING (419476.4905958988 3384607.9230725938, 419475.8103237899 3384557.9830966033, 419467.68707449094 3384518.487298285, 419452.1008399963 3384483.9134687553, 419434.44377717155 3384463.055125417, 419403.8915562824 3384437.1547652744, 419360.37414932007 3384414.315629621)"
437,41,42,True,1,highway,motorway_link,16.67,285.42,9,4000,"LINESTRING (420208.7935170699 3384818.367250261, 420157.1728688112 3384782.712988556, 420071.828731155 3384725.4800954, 420028.5314122281 3384701.3504435406, 419995.9183670102 3384689.6457616673, 419961.134453444 3384681.0623282953)"
438,42,43,True,2,highway,motorway_link,16.67,92.22,9,4000,"LINESTRING (419952.9861941417 3384680.692180235, 419945.15806288813 3384678.761407926, 419915.38615412434 3384672.528914929, 419863.1252497619 3384659.858846902)"
439,43,44,True,1,highway,motorway_link,16.67,258.99,9,4000,"LINESTRING (419855.4321725309 3384659.2636088068, 419797.0188071851 3384639.105545583, 419753.32132819376 3384630.3720521843, 419715.7362941787 3384628.7213919205, 419654.4217683687 3384641.0563258952, 419607.90316092566 3384665.5761338165)"
440,44,45,True,2,highway,motorway_link,16.67,96.85,9,4000,"LINESTRING (419601.12544984155 3384667.922072193, 419568.11724656075 3384691.766610007, 419535.4241693283 3384712.755005365, 419519.50780278136 3384719.5677304547)"
441,41,46,True,3,highway,motorway,20.3,664.75,14,2100,"LINESTRING (420212.9651857389 3384813.075133413, 420177.7911161098 3384784.04352077, 420084.453781176 3384715.746201844, 419976.9307719711 3384650.0699313357, 419930.61224456143 3384625.6001434214, 419787.54501766944 3384562.354845303, 419714.2957179486 3384533.013108609, 419629.88195244194 3384501.680575597)"
442,47,48,True,1,highway,motorway_link,16.67,552.17,9,2500,"LINESTRING (399585.21408521006 3388470.9382786034, 399488.69547776564 3388429.6517639984, 399450.6102436719 3388419.2976223403, 399415.28611401987 3388412.7149892882, 399375.59023566946 3388409.713788808, 399331.0824325488 3388409.8738528322, 399290.04601798207 3388415.916269799, 399256.9627846884 3388424.1795751234, 399225.60023967025 3388435.414068918, 399186.1544613583 3388454.2215919276, 399124.6398555151 3388482.1527643967, 399086.2945173796 3388514.875853631, 399075.3001196205 3388528.021111734)"
443,49,50,True,1,highway,motorway_link,16.67,78.44,9,2500,"LINESTRING (399001.5406158186 3388658.51330861, 398980.9323725217 3388701.5205114908, 398965.64625807735 3388728.2311957637)"
444,48,49,True,1,highway,motorway_link,16.67,147.34,9,2500,"LINESTRING (399074.17967144115 3388529.931876041, 399006.142456557 3388648.999503089, 399001.7607038544 3388658.283216575)"
445,51,52,True,1,highway,motorway_link,16.67,64.48,9,4000,"LINESTRING (399610.45418124733 3387933.6733726496, 399563.99559781427 3387978.421271809)"
446,52,53,True,2,highway,motorway_link,16.67,29.47,9,4000,"LINESTRING (399558.083232868 3387982.4578864556, 399543.71748657036 3387993.0471221493, 399535.23409321276 3388001.0103074233)"
447,53,54,True,2,highway,motorway_link,16.67,527.35,9,4000,"LINESTRING (399525.8603437122 3388009.798822828, 399498.24929929466 3388032.1627684063, 399484.3837530774 3388049.889859243, 399471.04841894197 3388072.7990229074, 399455.84233650914 3388104.3516439563, 399444.5878347089 3388142.3468420333, 399440.44617804553 3388183.393260601, 399438.5854337492 3388231.352444274, 399435.95438132697 3388256.3724522754, 399439.75590193685 3388276.0503234244, 399459.97398917016 3388316.296421863, 399486.01440533646 3388346.6085467134, 399522.25890313624 3388379.5217119753, 399603.7665061776 3388437.36484923)"
448,55,56,True,2,highway,motorway_link,16.67,19.91,9,2500,"LINESTRING (408921.69867908256 3407428.0311153526, 408917.30692238046 3407447.453884461)"
449,57,58,True,2,highway,motorway_link,16.67,39.83,9,4000,"LINESTRING (408808.5084029716 3407417.7069857013, 408815.54621809756 3407378.4812954254)"
450,59,60,True,2,highway,motorway_link,16.67,15.77,9,2500,"LINESTRING (414459.9439772308 3384126.940679646, 414461.434573469 3384111.234397134)"
451,60,61,True,1,highway,motorway_link,16.67,624.91,9,2500,"LINESTRING (414459.6938771907 3384102.771011782, 414448.4393753893 3384016.2764139427, 414438.2252897555 3383981.3724523582, 414425.40015970264 3383950.410067406, 414402.86114409624 3383912.634957363, 414382.02280876215 3383886.9346772507, 414353.1412561409 3383856.902664447, 414322.2689072016 3383833.6633687285, 414288.5454178061 3383812.454885335, 414257.8231288908 3383798.5093071056, 414208.0432169251 3383781.102344319, 414129.77190840256 3383761.6945812153, 414081.23249263485 3383754.561728075, 414050.21008367056 3383756.342440357, 414036.2745094426 3383756.6125484006, 414030.9323725884 3383755.29202019, 414026.8507399339 3383754.6217520833)"
452,62,63,True,1,highway,motorway_link,16.67,96.66,9,2500,"LINESTRING (398868.3773505091 3404496.388458352, 398910.05402117665 3404558.5733322985, 398919.2476986477 3404578.3812554684)"
453,64,62,True,1,highway,motorway_link,16.67,83.33,9,2500,"LINESTRING (398826.34053578414 3404424.409666836, 398833.9835930068 3404439.3256332236, 398846.5186070108 3404460.894260673, 398869.70788272214 3404495.4981022086)"
454,65,63,True,3,highway,motorway,20.3,134.19,14,2100,"LINESTRING (398838.1052416656 3404464.8758533103, 398898.93957539846 3404559.713788482, 398910.8643453083 3404577.690979358)"
455,29,66,True,2,highway,motorway_link,16.67,96.22,9,4000,"LINESTRING (398397.02881109156 3403747.7139885784, 398428.3413361009 3403798.1191506423, 398448.4443773177 3403829.0815355955)"
456,66,67,True,2,highway,motorway_link,16.67,95.35,9,4000,"LINESTRING (398449.95498155954 3403828.4612874975, 398500.57522966043 3403909.3036244283)"
457,29,65,True,3,highway,motorway,20.3,841.27,14,2100,"LINESTRING (398389.9659859625 3403752.2508033044, 398419.2577026482 3403803.7413995406, 398533.18327287614 3403982.8730522, 398617.2969183349 3404112.4548849296, 398733.17326887575 3404297.8490425884, 398837.94517763925 3404464.62575327)"
458,63,68,True,4,highway,motorway,20.3,46.03,14,2100,"LINESTRING (398917.17186831636 3404584.796321494, 398941.30152017676 3404624.022011769)"
459,68,69,True,4,highway,motorway,20.3,218.18,14,2100,"LINESTRING (398945.4881948471 3404630.8297348605, 398956.53261261433 3404648.7894187327, 399063.96808680426 3404814.1405591867)"
460,69,70,True,3,highway,motorway,20.3,3779.16,14,2100,"LINESTRING (399068.32733050204 3404820.8482422587, 399078.6914761608 3404836.8046248113, 399104.6918763195 3404877.410867308, 399305.60224046616 3405163.3052250436, 399482.2128847254 3405369.057525961, 399495.7983188997 3405385.223992546, 399504.19167624105 3405395.2179901465, 399683.1732688807 3405603.7814155133, 399843.80752258096 3405772.9190705703, 400009.1536610376 3405950.3400389543, 400326.7306918517 3406275.990299051, 400359.20368104696 3406310.7442006115, 400468.3873545172 3406427.630955312, 400498.89955940034 3406458.043120177, 400576.04041574127 3406535.744200606, 400623.68947536673 3406582.2728120503, 400682.9031608411 3406638.0451209727, 400770.22809081216 3406709.753804446, 400933.0132048595 3406822.4888984794, 401081.91276468337 3406908.573332251, 401294.27771066414 3407001.4204711067, 401375.4601836521 3407031.032315842, 401535.1940772108 3407074.1295547374, 401595.10804279626 3407086.9947007964, 401659.4737890955 3407098.489298634, 401788.2052816938 3407120.5981421717, 401908.13325288217 3407138.475293031)"
461,71,72,True,1,highway,motorway_link,16.67,36.05,9,2500,"LINESTRING (398992.18687431834 3403876.6405592035, 398968.78751457436 3403904.0815355936)"
462,72,73,True,2,highway,motorway_link,16.67,92.6,9,2500,"LINESTRING (398964.8059219374 3403911.2093867343, 398904.6918763202 3403981.6925800107)"
463,73,64,True,1,highway,motorway_link,16.67,462.56,9,2500,"LINESTRING (398901.020407732 3403987.624952959, 398847.6690671952 3404033.5233123014, 398833.54341693496 3404058.44328029, 398813.58543374366 3404097.9090666026, 398801.76070384955 3404140.5361174215, 398790.46618604223 3404186.7045848095, 398786.03441333293 3404235.5241126185, 398785.5942372627 3404266.97669365, 398788.57542974054 3404300.5701310253, 398792.4069623538 3404328.5513235005, 398799.4797914855 3404356.512507974, 398820.23809480644 3404409.0035043713)"
464,74,75,True,1,highway,motorway_link,16.67,33.63,9,4000,"LINESTRING (398948.0492192565 3403880.872251881, 398978.78151217423 3403867.1867776928)"
465,76,74,True,2,highway,motorway_link,16.67,92.51,9,4000,"LINESTRING (398863.09023566276 3403933.1181502403, 398915.2561020102 3403893.717389935, 398940.0810319818 3403882.6629681685)"
466,67,76,True,1,highway,motorway_link,16.67,407.89,9,4000,"LINESTRING (398506.252500567 3403914.9358773315, 398522.19887911854 3403937.444880933, 398538.0352136525 3403953.4212714867, 398563.5454177347 3403972.2588065006, 398586.49459740723 3403986.7846168256, 398614.9159659536 3404000.6301550404, 398639.13565382885 3404008.933476369, 398657.69307680003 3404011.594540794, 398681.53261261334 3404016.0463215066, 398703.55142013606 3404015.5261134226, 398726.72068784287 3404015.2159893736, 398750.6802716769 3404009.4236724474, 398778.5314121335 3403997.488898537, 398815.9163661144 3403972.2888185056, 398856.12244854844 3403936.7546048216)"
467,0,77,True,1,highway,motorway_link,16.67,511.23,9,4000,"LINESTRING (422182.57302888186 3402401.2103871615, 422201.88075197145 3402377.4008633504, 422291.276510274 3402270.7982222964, 422311.8847535727 3402238.5953411465, 422321.75870315044 3402207.1027441053, 422318.37735060946 3402175.069930983, 422303.71148426295 3402155.962287925, 422287.8651457277 3402145.1879782025, 422275.3201277199 3402142.1967817224, 422264.13565393054 3402141.5365176173, 422253.06122415833 3402142.937077842, 422238.58543384296 3402147.3588465485, 422219.73789482744 3402161.324432783, 422208.5034010304 3402180.892259914, 422208.74349706946 3402213.575333143, 422224.10964352643 3402242.3768537496, 422248.37935140997 3402265.0459213774)"
468,78,79,True,2,highway,motorway_link,16.67,756.3,9,4000,"LINESTRING (422460.76930739277 3402375.164968993, 422492.84713852615 3402378.8914595903, 423196.96378518734 3402548.724392759)"
469,80,81,True,1,highway,motorway_link,16.67,142.17,9,4000,"LINESTRING (415146.87875114236 3383699.939879336, 415113.2152857565 3383700.5301154302, 415004.6818723916 3383698.609347122)"
470,81,82,True,1,highway,motorway_link,16.67,99.4,9,4000,"LINESTRING (415004.4517803539 3383698.609347123, 414905.04201644816 3383700.810227474)"
471,83,84,True,1,highway,motorway_link,16.67,365.14,9,2500,"LINESTRING (397833.87354898575 3397388.625353253, 397810.51420524804 3397412.4148690584, 397782.2829127311 3397441.106345648, 397752.6210479846 3397474.7498030304, 397722.3289311374 3397519.557726198, 397668.03721445065 3397627.0907394015, 397658.6734689524 3397649.2796149515, 397633.2933168915 3397690.276013512)"
472,85,83,True,4,highway,motorway_link,16.67,200.0,9,2500,"LINESTRING (398359.883953149 3396973.449282832, 397835.49419724446 3397379.8068258422)"
473,86,87,True,2,highway,motorway_link,16.67,737.68,9,2500,"LINESTRING (423191.54161632084 3402564.7458013203, 422471.818727161 3402401.6005432224)"
474,87,88,True,1,highway,motorway_link,16.67,258.0,9,2500,"LINESTRING (422464.3157259603 3402397.3888585493, 422428.4513802215 3402381.022311931, 422418.64745865355 3402376.7806152524, 422396.7386951484 3402369.167570033, 422369.46778678586 3402359.0635284167, 422339.9259700582 3402344.5277140923, 422306.8427367637 3402324.039518815, 422285.92436941765 3402309.4836964854, 422257.9631849446 3402285.5441206563, 422242.0568223977 3402270.958286323)"
475,89,90,True,1,highway,motorway_link,16.67,360.8,9,4000,"LINESTRING (414652.79111608723 3383809.443680854, 414609.2236891157 3383857.3728525224, 414584.6238491799 3383895.938278691, 414568.1272505407 3383929.3016240294, 414553.66146422614 3383969.9378785295, 414544.5578227688 3384014.395661643, 414540.2661060819 3384054.471692054, 414538.6454578229 3384095.0079065375, 414538.775509844 3384138.825433549)"
476,90,91,True,2,highway,motorway_link,16.67,35.47,9,4000,"LINESTRING (414537.12484958034 3384146.8036248246, 414536.6146454984 3384182.2878185017)"
477,6,92,True,3,highway,motorway,20.3,223.86,14,2100,"LINESTRING (408722.869147275 3383762.3248333167, 408510.69427732646 3383833.9634887786)"
478,92,93,True,4,highway,motorway,20.3,547.53,14,2100,"LINESTRING (408503.1062421105 3383836.5095071862, 408316.0264101783 3383898.899463166, 408252.32092798385 3383918.4072662885, 408043.70748260553 3383981.3824563627, 408011.1644653984 3383993.397262284, 407981.139955594 3384002.2858177065)"
479,93,94,True,4,highway,motorway,20.3,270.8,14,2100,"LINESTRING (407980.6272505117 3384002.445881732, 407728.82152822235 3384087.5449213474, 407724.02460945444 3384089.2956216265)"
480,95,96,True,2,highway,motorway_link,16.67,109.05,9,2500,"LINESTRING (410729.206682296 3383922.1437608837, 410735.44417729496 3383864.8658497212, 410742.63705444615 3383819.4977024626, 410743.5074025843 3383814.0255135885)"
481,96,97,True,1,highway,motorway_link,16.67,232.55,9,2500,"LINESTRING (410742.58703443804 3383806.6225524037, 410743.3973585673 3383785.08393696, 410731.9327727334 3383637.4548853403, 410730.12204844377 3383574.469691264)"
482,98,99,True,2,highway,motorway_link,16.67,68.96,9,2500,"LINESTRING (405382.9281708686 3384981.1423603045, 405371.35854301846 3384969.917870508, 405329.20668227336 3384938.0001034024)"
483,100,98,True,2,highway,motorway_link,16.67,96.14,9,2500,"LINESTRING (405452.94617807306 3385046.9436808303, 405417.4769903982 3385016.9066660255, 405381.81272468995 3384982.292820487)"
484,50,101,True,4,highway,motorway,20.3,12.66,14,2100,"LINESTRING (398941.6166462308 3388771.0583266155, 398939.7859139395 3388775.8202313767, 398937.2498995326 3388782.950583518)"
485,101,102,True,4,highway,motorway,20.3,130.21,14,2100,"LINESTRING (398934.6038411094 3388790.388558709, 398890.9613841273 3388913.1251533427)"
486,102,103,True,3,highway,motorway,20.3,1835.39,14,2100,"LINESTRING (398888.53541373747 3388920.59814254, 398886.6846734412 3388926.8406395377, 398880.18207240076 3388958.063128532, 398866.89675827575 3389006.962688356, 398857.39295675466 3389045.508106522, 398844.1676666382 3389100.8602473782, 398835.4841932491 3389143.007106119, 398815.40616203606 3389270.268010478, 398772.88915523514 3389577.6009436455, 398736.6446574339 3389860.193980857, 398712.0648255014 3390042.4668900156, 398705.9723885262 3390090.276013664, 398684.4537810838 3390222.829034869, 398660.564225261 3390353.531315779, 398640.2060820034 3390461.804625102, 398630.2120844052 3390509.963888805, 398581.4525806027 3390729.381655908)"
487,9,104,True,3,highway,motorway,20.3,1190.9,14,2100,"LINESTRING (407121.6686670751 3384296.9286748436, 407067.37695038837 3384317.626954155, 406868.2573025299 3384391.60654599, 406771.228491003 3384431.3724523527, 406586.6646654718 3384514.2756136144, 406422.2589031662 3384600.1499633538, 406351.1204477837 3384641.006305889, 406261.28451340925 3384693.877454347, 406141.85674230184 3384769.907866511, 406074.59983953944 3384815.095941739, 406059.24369708204 3384826.7906196113)"
488,105,106,True,4,highway,motorway,20.3,46.0,14,2100,"LINESTRING (411862.65506164887 3407674.8698508414, 411908.6484590069 3407676.300423071)"
489,106,107,True,4,highway,motorway,20.3,117.17,14,2100,"LINESTRING (411916.58663427853 3407676.5505231107, 412020.2581028667 3407679.791819628, 412033.72348902 3407680.702183775)"
490,107,108,True,3,highway,motorway,20.3,1859.13,14,2100,"LINESTRING (412041.7066822972 3407681.2423998616, 412195.9383749756 3407691.6465615258, 412331.88275272807 3407700.860246999, 412500.40015969175 3407714.5957411975, 412741.20648221986 3407740.7361973785, 413351.7607039121 3407798.6993826525, 413672.3589432084 3407824.519710782, 413794.7679067942 3407826.370451077, 413850.78031175636 3407824.8898588414, 413870.25810287346 3407824.37965476, 413895.1180468513 3407823.7193906535)"
491,109,110,True,3,highway,motorway_link,16.67,99.67,9,4000,"LINESTRING (411301.8207279125 3407433.673372255, 411302.39095600543 3407426.080335041, 411304.2216882971 3407406.8326359633, 411304.3717483219 3407334.0835363227)"
492,111,105,True,1,highway,motorway_link,16.67,104.09,9,2500,"LINESTRING (411746.54861907044 3407662.1047447994, 411821.77871110744 3407664.1355571225, 411850.33013167576 3407668.397261806)"
493,112,111,True,1,highway,motorway_link,16.67,92.09,9,2500,"LINESTRING (411654.5018003427 3407658.0131081464, 411746.58863507694 3407660.504104544)"
494,113,114,True,1,highway,motorway_link,16.67,296.63,9,2500,"LINESTRING (406677.3109239771 3384715.2960217735, 406659.4337731154 3384675.4500834, 406611.8947575088 3384630.3920601904, 406562.8851536674 3384608.8934607524, 406523.52941137034 3384602.1107476656, 406493.75750260626 3384602.0207116534, 406464.33573389944 3384603.3312358614, 406431.4925966441 3384615.1459617526)"
495,115,116,True,1,highway,motorway_link,16.67,267.06,9,2500,"LINESTRING (406811.23449340434 3385057.4929005173, 406789.8559419847 3385013.1951814326, 406782.47298880224 3384993.647362304, 406733.42336895416 3384858.0231126077, 406712.93517367553 3384809.2936208113)"
496,116,113,True,1,highway,motorway_link,16.67,84.84,9,2500,"LINESTRING (406712.7250896416 3384808.893460747, 406705.1420564285 3384794.9078665096, 406683.62344898615 3384729.3916600286)"
497,117,118,True,1,highway,motorway_link,16.67,14.96,9,4000,"LINESTRING (410886.4845934568 3407692.8570457194, 410901.38055184047 3407691.4164694897)"
498,118,119,True,1,highway,motorway_link,16.67,72.96,9,4000,"LINESTRING (410901.5306118644 3407690.806225392, 410959.1736690884 3407682.883056124, 410973.9195674471 3407681.4824959)"
499,120,121,True,2,highway,motorway_link,16.67,101.25,9,4000,"LINESTRING (407004.34673830285 3384351.5305155786, 406910.0740292184 3384388.575333506)"
500,121,122,True,2,highway,motorway_link,16.67,93.21,9,4000,"LINESTRING (406910.66426531394 3384390.065929743, 406823.8845534285 3384424.1845772024)"
501,123,124,True,1,highway,motorway_link,16.67,185.14,9,2500,"LINESTRING (406341.84673830005 3384658.903464751, 406279.71188435826 3384695.698182637, 406194.81792677584 3384748.939479158, 406183.9735890409 3384755.732196242)"
502,114,123,True,1,highway,motorway_link,16.67,94.71,9,2500,"LINESTRING (406427.8311320576 3384616.4764939644, 406357.4429767972 3384651.5205115704, 406342.86714646337 3384658.4132686732)"
503,125,126,True,2,highway,motorway_link,16.67,72.82,9,2500,"LINESTRING (411358.23329293897 3407327.8510433272, 411357.8231288749 3407400.695180979)"
504,122,127,True,2,highway,motorway_link,16.67,340.28,9,4000,"LINESTRING (406818.13725450804 3384428.16116784, 406792.6170464251 3384446.3484427473, 406752.5610240168 3384486.0543250996, 406735.83433333936 3384512.384857312, 406727.430971995 3384533.8234327435, 406721.5286110514 3384547.6789749577, 406716.5266102501 3384573.059127019, 406713.5154057684 3384596.12835471, 406716.36654622504 3384632.9530845997, 406726.0204077697 3384689.385657628, 406735.2040812391 3384726.7706116103, 406735.5842333002 3384728.301223855)"
505,127,128,True,2,highway,motorway_link,16.67,85.72,9,4000,"LINESTRING (406735.46418528026 3384728.5813358994, 406749.7899155734 3384778.401263868, 406759.878951188 3384810.779215049)"
506,117,105,True,3,highway,motorway,20.3,963.18,14,2100,"LINESTRING (410887.1348535608 3407699.3196307537, 411129.41176432604 3407686.9046647665, 411303.3713481602 3407677.4508832544, 411376.0604237914 3407675.0899388776, 411573.54941939004 3407672.278814428, 411629.9319724111 3407670.2179900976, 411849.9799916216 3407674.9698908585)"
507,129,130,True,3,highway,motorway_link,16.67,83.12,9,2500,"LINESTRING (405633.113244899 3385176.950683629, 405572.2689071648 3385233.6333566965)"
508,131,129,True,3,highway,motorway_link,16.67,108.87,9,2500,"LINESTRING (405716.69667827396 3385106.7526044, 405714.1556618664 3385109.4736928353, 405633.31332493166 3385176.770611602)"
